Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,+/-
Arron Afflalo,NYK,30,38,18,20,33,5.5,11.9,46.2,1.3,3.5,37.1,1.6,1.8,87,0.3,3.3,3.7,1.8,1,0.3,0.2,2.3,0,0,13.9,-0.3
Austin Rivers,LAC,23,40,26,14,22,3.1,7.3,42.3,0.7,2.5,26.7,1,1.4,70.2,0.4,1.5,1.8,1.4,0.8,0.6,0.2,2.1,0,0,7.8,-3.1
Avery Bradley,BOS,25,39,21,18,32.6,5.8,13.3,43.5,2,5.5,36,1.2,1.6,76.2,0.7,1.9,2.6,2.1,1.5,1.6,0.3,2,0,0,14.7,3.6
Ben McLemore,SAC,23,43,20,23,21.1,2.8,6.1,45.4,0.9,2.3,36.6,1.1,1.6,73.1,0.5,1.6,2,1.1,1.5,0.9,0.1,2,0,0,7.5,0.1
Beno Udrih,MEM,33,32,17,15,15.3,1.8,4.1,43.2,0.3,0.9,36.7,0.4,0.4,92.3,0.1,1.4,1.5,2.8,1,0.3,0,1.2,1,0,4.3,0.1
Bismack Biyombo,TOR,23,43,28,15,22.8,1.8,3.6,50.3,0,0,0,1.8,2.7,66.7,2.4,6,8.3,0.3,1.1,0.2,1.6,2.8,5,0,5.4,-0.9
Blake Griffin,LAC,27,30,17,13,34.9,9.4,18.4,50.8,0.2,0.6,35.3,4.3,5.9,72.5,1.6,7,8.7,5,2.4,0.7,0.6,2.8,12,0,23.2,3.6
Boban Marjanovic,SAS,27,26,25,1,8.1,2,3.3,61.2,0,0,0,1.5,2,73.6,1.2,2.1,3.3,0.3,0.7,0.3,0.5,1.1,1,0,5.5,2.2
Bobby Portis,CHI,21,23,12,11,14.4,2.8,6.3,44.8,0.3,0.8,31.6,0.7,1,73.9,1.4,2.8,4.3,0.5,1.2,0.4,0.4,1.4,2,0,6.7,-0.7
Bojan Bogdanovic,BKN,27,44,11,33,27,3.5,8.3,42,1.2,3.7,32.5,1,1.3,80.7,0.5,3,3.5,1,1.3,0.5,0.1,1.4,1,0,9.3,-5.5
Boris Diaw,SAS,34,44,38,6,19.1,3,5.5,53.5,0.4,1,40,0.8,1.1,74,0.9,2.5,3.3,2.5,1.3,0.4,0.3,1.4,0,0,7.2,6.5
Bradley Beal,WAS,23,21,10,11,34,7.1,15.8,44.9,2.2,5.3,41.1,2.8,3.7,76.6,1,3.4,4.4,3.1,2.6,1,0.3,2.4,0,0,19.2,-3.2
Brandan Wright,MEM,28,7,3,4,17.1,2.6,4.3,60,0,0,0,1.4,2.6,55.6,0.9,2.6,3.4,0.6,0.6,0.1,1.4,1.3,0,0,6.6,-7.4
Branden Dawson,LAC,23,2,2,0,6.3,0.5,1.5,33.3,0,0,0,0,0,0,1,0.5,1.5,0,0,0,0.5,1,0,0,1,-7
Brandon Bass,LAL,31,38,9,29,18,2.5,4.4,56,0,0,0,1.4,1.6,85.5,1.6,2.6,4.2,1.1,0.6,0.5,0.9,1.7,0,0,6.3,-1.5
Brandon Jennings,ORL,26,13,6,7,17.5,2.4,6.2,38.3,1,3.2,31.7,1.5,1.8,79.2,0.3,1.8,2.2,3.5,1.1,0.4,0,0.8,0,0,7.2,2.9
Brandon Knight,PHX,24,42,13,29,36.3,7.4,17.3,42.4,2.1,6.2,33.3,2.9,3.4,84.7,0.6,3.1,3.7,5.1,3.5,1.3,0.3,2.4,4,1,19.7,-3.6
Brandon Rush,GSW,30,35,31,4,16.1,1.9,4.3,45,1.1,2.5,45.5,0.2,0.3,58.3,0.4,2.3,2.7,0.8,0.5,0.3,0.3,0.8,0,0,5.2,0.3
Brian Roberts,POR,30,24,11,13,10.2,1.4,3.1,44,0.2,0.7,29.4,0.7,0.8,94.4,0.1,0.8,0.9,1.2,0.5,0.3,0,0.6,0,0,3.7,-0.5
Brook Lopez,BKN,28,44,11,33,33.4,7.8,15.8,49.1,0,0.1,0,4,5,78.4,2.9,5.4,8.3,1.6,2.3,0.7,1.9,3,17,0,19.5,-3.8
Bruno Caboclo,TOR,20,2,2,0,1.2,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,-1.5
Bryce Cotton,MEM,23,3,0,3,10.9,0.7,2.7,25,0,1,0,0,0,0,0,0,0,1,1.7,1,0,0.7,0,0,1.3,-4.7
Bryce Dejean-Jones,NOP,23,2,2,0,1,0.5,0.5,100,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-0.5
CJ McCollum,POR,24,44,20,24,35.3,8.1,18.4,44.1,2.5,6.4,39.5,2.1,2.6,80,0.6,3,3.6,4.3,2.3,1.2,0.2,2.3,2,0,20.8,1.3
CJ Miles,IND,29,39,20,19,26.5,4.2,10.7,39.2,2.4,6.7,35.5,1.8,2.5,75,0.5,2.7,3.2,1.1,1.1,1.1,0.5,2.4,0,0,12.6,0.2
CJ Watson,ORL,32,8,3,5,19.6,1.8,4.8,36.8,0.6,2,31.3,0.6,0.9,71.4,0.5,1.5,2,3.1,0.8,1,0,1.3,0,0,4.8,3.4
CJ Wilcox,LAC,25,4,2,2,2.9,0.5,1,50,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,1,-0.3
Cameron Bairstow,DET,25,9,3,6,3.8,0.4,1.7,26.7,0,0.2,0,0,0,0,0.4,0.9,1.3,0,0.1,0.1,0.1,0.7,0,0,0.9,0.1
Cameron Payne,OKC,21,29,25,4,11.5,2,4.8,42.8,0.7,1.9,37,0.2,0.3,75,0.1,1.6,1.7,1.9,0.6,0.8,0.1,1.4,0,0,5,-1.1
Carl Landry,PHI,32,11,3,8,12.8,3.2,5.5,57.4,0.1,0.2,50,1.4,2.1,65.2,0.9,2,2.9,0.4,0.8,0.5,0.3,1.7,0,0,7.8,1.1
Carmelo Anthony,NYK,32,42,22,20,34.6,7.6,17.6,43.3,1.4,4.1,33.1,4.7,5.7,81.7,1.5,6,7.5,4,2.5,0.9,0.5,2.4,11,0,21.3,0.5
Caron Butler,SAC,36,9,1,8,9.6,1.2,2.9,42.3,0.1,0.9,12.5,0.1,0.2,50,0.3,0.9,1.2,0.3,0.2,0.6,0,0.8,0,0,2.7,-4.8
Chandler Parsons,DAL,27,37,20,17,26.7,4.3,9.1,47.3,1.2,3.2,36.7,1,1.7,57.1,0.4,3.5,3.9,2.4,1.4,0.5,0.4,1.7,0,0,10.8,0.7
Channing Frye,CLE,33,37,18,19,18,1.9,4.3,44.4,1.2,2.9,41.3,0.5,0.5,89.5,0.5,2.7,3.2,1.2,0.7,0.5,0.5,1.6,0,0,5.5,2.2
Charles Hayes,LAC,33,2,1,1,11.9,0.5,1,50,0,0,0,1,1,100,0,4,4,1,1.5,0,0,3,0,0,2,-1.5
