Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,+/-
Garrett Temple,WAS,30,39,19,20,24.5,2.8,6.9,41.1,1.1,3.3,34.1,1.5,2,73.1,0.5,2.1,2.6,1.9,0.7,0.9,0.3,2.1,0,0,8.3,1.6
Gary Harris,DEN,21,38,15,23,30.4,4.3,9.4,45.4,1.3,3.6,36.8,1.2,1.5,79.3,0.7,2.1,2.8,1.8,1.4,1.1,0.2,2,0,0,11.1,-3.1
Gary Neal,WAS,31,33,16,17,21.3,3.9,8.5,45.9,1.1,2.6,42.5,1.3,1.5,86.3,0.3,1.8,2.1,1.3,0.8,0.5,0,1.3,0,0,10.2,-3.8
George Hill,IND,30,37,20,17,35,4.6,10.4,44.5,1.9,4.3,43.1,1.6,2.1,73.4,0.8,3.2,4,3.2,1.5,1.4,0.2,2.1,0,0,12.7,1.1
Gerald Green,MIA,30,38,19,19,26.4,3.9,9.9,39.9,1.6,4.7,33.9,1.2,1.6,78.3,0.4,2.1,2.6,0.9,0.9,0.6,0.4,2.2,0,0,10.7,1.6
Gerald Henderson,POR,28,37,16,21,16.3,2.4,6.1,39.6,0.6,1.8,36.4,1.2,1.6,72.1,0.4,2.1,2.5,0.9,0.9,0.2,0.2,0.8,0,0,6.7,-1
Giannis Antetokounmpo,MIL,21,44,18,26,34.1,5.9,11.6,50.4,0.3,1.3,22.8,3.5,4.6,77.1,1.4,5.7,7.2,2.8,2.5,1,1.2,3.5,7,0,15.5,-2.6
Glenn Robinson,IND,22,29,16,13,12.1,1.4,3.3,43.3,0.3,0.9,34.6,0.8,1.2,67.6,0.3,1.4,1.7,0.5,0.4,0.4,0.2,0.4,0,0,4,-1.4
Goran Dragic,MIA,30,37,22,15,32.5,5,10.7,46.6,0.9,2.8,32.7,1.4,1.9,72.2,0.7,2.6,3.3,5,2.5,1,0.2,2.4,0,0,12.3,1.9
Gordon Hayward,UTA,26,43,19,24,35.6,6.5,14.9,43.6,1.9,5,37.8,5,6.1,81.6,0.8,4.2,5,3.6,2.6,1.2,0.3,2.2,2,0,19.8,-0.1
Gorgui Dieng,MIN,26,45,14,31,23.7,3,6,50.6,0,0,50,1.8,2.2,85.6,1.6,4.8,6.4,1.3,1.9,1.1,1,2.6,4,0,8,-2
Greg Monroe,MIL,26,44,19,25,30.3,6.6,12.7,51.7,0,0,0,2.9,3.9,74.9,3,6.8,9.8,2.3,1.7,1,0.9,2.2,24,0,16,-0.1
Greivis Vasquez,MIL,29,16,6,10,22.6,2.4,7,34.8,0.9,3.4,25.9,1.4,1.6,88,0.3,2.1,2.3,4.4,1.9,0.4,0,2.1,0,0,7.1,-3.7
Harrison Barnes,GSW,24,28,26,2,29.1,4.7,9.9,47.1,1.1,2.9,39.5,1.9,2.3,84.1,1.1,3.6,4.7,1.9,1,0.9,0.2,1.9,0,0,12.4,8.3
Hassan Whiteside,MIA,27,41,22,19,28.9,5.1,8.4,61.3,0,0,0,2,3.7,54.2,3.1,8.1,11.2,0.3,2.1,0.6,3.9,2.4,17,2,12.3,-0.5
Hollis Thompson,PHI,25,42,6,36,26.7,3.1,7.7,40.6,1.7,4.5,38.6,0.7,1,65.1,0.6,2.8,3.4,1.2,1.2,0.4,0.3,2.6,0,0,8.6,-4.4
Ian Clark,GSW,25,38,35,3,9.9,1.8,3.7,47.2,0.7,1.4,45.5,0.4,0.4,87.5,0.2,0.9,1.1,1.1,0.7,0.3,0.2,0.9,0,0,4.6,-1.2
Ian Mahinmi,IND,29,39,22,17,23.8,3.4,5.6,60.6,0,0,0,1.6,2.8,56.8,2.1,5.1,7.1,1.3,1.2,0.9,1,3.2,4,0,8.4,1.2
Iman Shumpert,CLE,26,20,15,5,24.3,2.7,6.8,40,1.1,3.2,33.3,0.5,0.7,71.4,0.5,2.3,2.8,1.5,1,1.1,0.4,2.1,0,0,7,2.6
Isaiah Canaan,PHI,25,43,6,37,25.1,3.2,8.9,35.8,2.2,6,36.3,1.9,2.4,80.4,0.2,1.9,2.2,1.9,1.4,0.7,0.2,1.7,0,0,10.4,-5.2
Isaiah Thomas,BOS,27,44,23,21,32.7,7,16.6,42.1,2.1,6,34.5,5.7,6.4,89,0.5,2.5,3,6.7,2.7,1.2,0.1,2,5,0,21.8,3.6
Ish Smith,PHI,27,40,13,27,25.7,4.7,11.2,42,0.4,1.4,31.5,1.5,2,76.3,0.6,2.9,3.4,6.6,2.1,1.1,0.2,1.6,10,0,11.4,-1.9
J.J. O'Brien,UTA,24,2,2,0,3.1,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,-4
J.R. Smith,CLE,30,38,26,12,30,4.6,11.1,41.6,2.4,6.2,38.7,0.7,1.2,59.1,0.6,2.2,2.9,1.5,0.8,1,0.4,2.8,1,0,12.3,2.7
JJ Hickson,WAS,27,18,6,12,16.9,3.1,6.1,50.5,0,0,0,1.5,3.3,45.8,1.2,3.6,4.8,0.9,0.9,0.6,0.7,1.9,2,0,7.6,-2.2
JJ Redick,LAC,32,39,26,13,27.7,5.5,11.2,49,2.7,5.5,49.5,2.7,3,89,0.1,1.6,1.7,1.5,1.1,0.5,0.1,1.7,0,0,16.4,7.7
JaKarr Sampson,DEN,23,43,6,37,15.5,1.9,4.4,43.9,0.1,0.7,19.4,1.4,2.2,63.5,0.7,2.3,2.9,0.7,1.1,0.3,0.4,2.1,0,0,5.4,-3.5
JaMychal Green,MEM,26,45,25,20,14.8,2.1,4.3,49.2,0.2,0.4,52.9,1.2,1.5,76.5,1.2,2.8,4,0.4,1,0.3,0.3,2.2,1,0,5.6,-0.7
JaVale McGee,DAL,28,25,12,13,12,2.6,4.4,58.2,0,0,0,0.6,1.1,50,1.6,2.8,4.4,0.1,0.7,0.1,0.9,1.6,1,0,5.7,-1.6
Jabari Parker,MIL,21,40,18,22,27.8,4.7,9.8,48.2,0,0.2,0,1.9,2.4,78.7,1.5,3,4.5,1.5,1,0.8,0.4,1.8,2,0,11.3,-1.9
Jae Crowder,BOS,25,44,23,21,32.5,5,11,45,1.7,4.8,36.2,2.8,3.4,82,1.1,4.1,5.2,1.9,1.4,1.8,0.5,2.6,4,0,14.4,3.1
Jahlil Okafor,PHI,20,40,5,35,30.8,7.5,15.2,48.9,0,0.1,0,2.7,3.9,68.4,2.3,5.1,7.4,1.2,2.3,0.5,1.1,2.4,9,0,17.6,-8.7
Jamal Crawford,LAC,36,43,28,15,25.6,4.3,10.8,39.5,1.3,3.9,32.9,2.8,3,93,0.2,1.5,1.7,2.1,1.4,0.5,0.1,1.6,0,0,12.6,1.8
Jameer Nelson,DEN,34,36,11,25,27.6,3.1,8.3,37.1,1.1,3.9,29.5,0.8,1,85.7,0.5,2.5,3.1,5.1,1.8,0.7,0.1,2.6,0,0,8.1,-3.4
James Anderson,SAC,27,22,10,12,9.7,0.6,2.3,27.5,0.4,1.2,34.6,0.4,0.5,90,0.3,0.9,1.2,0.5,0.6,0.2,0.1,0.8,0,0,2.1,-0.3
James Ennis,NOP,25,10,5,5,3.6,0.3,0.8,37.5,0.2,0.5,40,0.5,0.8,62.5,0.2,0.3,0.5,0.3,0.2,0.3,0.2,0.2,0,0,1.3,-0.9
James Harden,HOU,26,45,23,22,37.4,8.1,19.2,42.2,2.7,8,34,8.7,10.1,86.2,0.8,5.2,6,6.9,4.6,1.5,0.6,2.8,9,1,27.6,-1.1
James Johnson,TOR,29,35,22,13,15.3,2.1,3.9,52.9,0.3,0.9,35.5,0.7,1.1,62.5,0.5,1.6,2.2,1,0.9,0.5,0.5,1.2,0,0,5.1,1.2
James Jones,CLE,35,34,23,11,9.9,1.1,2.9,37,0.8,2.2,35.5,0.5,0.6,76.2,0.2,0.9,1.1,0.4,0.3,0.2,0.2,1.3,0,0,3.4,-1.1
James Michael McAdoo,GSW,23,25,23,2,5.9,0.9,1.6,55,0,0,0,0.5,1.1,48.1,0.6,0.7,1.3,0.4,0.4,0.3,0.2,0.7,0,0,2.3,-1.8
James Young,BOS,20,17,8,9,8.9,0.5,1.6,29.6,0.2,1.2,20,0.1,0.2,25,0.2,1,1.2,0.4,0.2,0.2,0.1,0.8,0,0,1.2,-1.3
Jared Cunningham,CLE,25,34,25,9,10,0.9,2.6,36,0.3,0.9,33.3,0.9,1.4,62.5,0.1,0.8,0.9,0.6,0.5,0.3,0.1,1.1,0,0,3.1,0.2
Jared Dudley,WAS,30,40,19,21,28.9,3.1,6.5,47.9,1.5,3.3,46.2,0.9,1.2,75,0.8,3,3.8,1.9,0.9,1,0.1,2.4,0,0,8.6,1
Jared Sullinger,BOS,24,43,22,21,24.1,4,9.6,42.1,0.4,1.7,26.8,1.3,2.1,63.7,2.5,6.2,8.7,2.1,1.3,0.9,0.7,2.7,13,0,9.9,2.6
Jarell Eddie,WAS,24,9,4,5,7.5,1.1,3.1,35.7,1.1,2.7,41.7,0.4,0.4,100,0.1,1.1,1.2,0.2,0,0.2,0.1,0.3,0,0,3.8,-0.8
Jarell Martin,MEM,22,2,1,1,4.6,0.5,2.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Jarnell Stokes,MEM,22,4,0,4,2.8,0.5,1,50,0,0,0,0,0,0,0.3,0.5,0.8,0,0,0,0,0,0,0,1,-0.3
Jarrett Jack,BKN,32,32,10,22,32.1,4.4,11.2,39.1,1,3.2,30.4,3.1,3.5,89.3,0.3,4,4.3,7.4,2.9,1.1,0.2,2.4,6,0,12.8,-4.1
Jason Smith,ORL,30,37,18,19,14.9,2.7,5.3,50.3,0.1,0.3,20,0.6,0.6,91.7,0.5,1.9,2.5,0.6,0.7,0.4,0.7,2.1,0,0,6,0.6
Jason Terry,HOU,38,38,20,18,17.2,2.1,4.9,43,1.3,3.5,36.4,0.5,0.6,79.2,0.1,0.9,1,1.4,0.7,0.8,0.2,1.5,0,0,6,0.8
Jason Thompson,TOR,29,21,18,3,6.8,0.7,1.7,42.9,0,0,0,0.7,1.1,62.5,0.4,1.9,2.3,0.8,0.2,0.1,0.3,1.6,0,0,2.1,-2.2
Jeff Green,LAC,29,45,25,20,28.6,4,9.8,40.7,0.6,2.2,27.3,2.2,2.8,78.7,1,3.4,4.4,1.9,1.4,0.7,0.3,2,1,0,10.8,-1.7
Jeff Teague,ATL,28,42,25,17,28.4,4.9,12,41.2,1.1,2.9,38.3,3.4,4,84.1,0.5,2.1,2.6,5.5,2.7,1.2,0.3,2.1,2,0,14.4,-1.7
Jeff Withey,UTA,26,35,16,19,15.5,2,3.7,54.3,0,0,0,1.1,1.5,71.7,1.4,2.8,4.2,0.5,0.7,0.5,1.3,1.7,2,0,5.1,1.4
Jerami Grant,PHI,22,42,5,37,25.6,3.1,7.2,42.4,0.4,1.9,21.8,2.4,3.5,67.8,1.2,3.3,4.5,1.3,1.2,0.7,1.6,2.9,2,0,9,-6.4
Jeremy Evans,DAL,28,26,15,11,8.9,0.8,1.6,51.2,0.1,0.5,21.4,0.5,0.7,72.2,0.4,1.6,2,0.1,0.3,0.2,0.3,0.7,0,0,2.2,-1.3
Jeremy Lamb,CHA,24,38,19,19,21.6,4.3,9.3,46.9,1,3.2,31.1,1.2,1.6,77,0.8,3.7,4.5,1.3,0.9,0.6,0.4,1.6,1,0,10.9,2.3
Jeremy Lin,CHA,27,42,21,21,27.1,4.1,9.7,42.9,1,3.1,31.5,3.2,4,79.9,0.6,2.6,3.2,3.1,1.9,0.7,0.6,2.4,0,0,12.5,1.7
Jerian Grant,NYK,23,43,20,23,15.8,1.7,4.8,34.1,0.2,1.1,14.6,1.3,1.6,82.4,0.3,1.5,1.7,2.3,1.1,0.5,0.1,1.4,0,0,4.8,-1.2
Jerryd Bayless,MIL,27,28,11,17,28.5,3.8,8.8,42.5,2,4.6,42.3,1.2,1.5,79.1,0.4,2.3,2.7,3.6,1.9,1,0.2,2.2,1,0,10.7,-3.7
Jimmer Fredette,SAS,27,4,1,3,3.1,0.3,1,25,0,0.3,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0.3,0,0,0.5,-4.8
Jimmy Butler,CHI,26,43,25,18,38.2,7.4,16.3,45.3,1.1,3.4,31.8,6.7,8,83.4,1.2,4.1,5.3,4.2,2.1,1.7,0.7,2,5,0,22.5,
Joakim Noah,CHI,31,29,15,14,21.9,1.8,4.6,38.3,0,0,0,0.8,1.6,48.9,3,5.8,8.8,3.8,1.8,0.6,1,2.7,1,0,4.3,-1.2
Jodie Meeks,DET,28,2,2,0,8.5,0.5,2.5,20,0,0,0,0,0,0,0.5,0.5,1,0,0.5,0,0,1,0,0,1,0
Joe Harris,CLE,24,5,5,0,3,0.2,0.8,25,0.2,0.8,25,0,0,0,0,0.6,0.6,0.4,0.2,0,0,0.2,0,0,0.6,-4.2
Joe Ingles,UTA,28,42,19,23,13.9,1.5,3.7,41.7,1,2.5,37.7,0.1,0.1,83.3,0.2,1.3,1.5,1,0.7,0.5,0.1,1.2,0,0,4.2,-0.3
Joe Johnson,MIA,35,44,11,33,34.2,4.3,11,39.1,1.5,4,36.5,1.3,1.6,81.7,0.7,3.3,4,3.6,1.8,0.7,0,1.8,2,0,11.4,-4
Joe Young,IND,24,19,7,12,8.2,1.5,3.7,40.8,0.2,0.7,23.1,0.8,1,78.9,0.1,0.9,1,1.7,0.6,0.5,0,0.6,0,0,4,-0.4
Joel Anthony,DET,33,12,8,4,4.2,0.2,0.4,40,0,0,0,0.4,0.5,83.3,0.5,0.7,1.2,0.1,0.1,0.2,0.3,0.6,0,0,0.8,-0.1
Joffrey Lauvergne,DEN,24,25,9,16,18.3,3.4,6.8,50.3,0.5,1.1,42.9,0.8,1,87.5,1.6,3.9,5.5,1.2,0.9,0.2,0.3,2.1,3,0,8.2,-6.2
John Henson,MIL,25,41,17,24,16.7,2.9,4.9,59.5,0,0,0,1.1,2,53.7,1.5,2.4,3.9,0.9,1.2,0.3,1.9,2.3,1,0,6.9,-3
John Jenkins,PHX,25,18,10,8,9.8,1.4,3.4,42.6,0.2,1,16.7,0.4,0.4,87.5,0.2,0.9,1.2,0.4,0.6,0.2,0,0.5,0,0,3.4,0.5
John Wall,WAS,25,41,20,21,35.7,7.5,17.3,43.3,1.5,4.2,34.9,3.5,4.4,78.6,0.7,3.6,4.2,9.7,4.4,2.1,0.7,2.1,23,0,19.9,0.5
Johnny O'Bryant,MIL,23,42,17,25,14.7,1.5,3.5,43.2,0,0,100,0.5,0.7,67.7,1.1,1.9,3,0.6,0.6,0.4,0.1,1.8,0,0,3.5,-1.8
Jon Leuer,PHX,27,41,13,28,20.8,3.6,7.4,49.2,0.8,2,40.7,1,1.3,73.6,1,4.7,5.7,1.3,1.2,0.6,0.4,2.1,6,0,9,-0.8
Jonas Jerebko,BOS,29,43,23,20,13.5,1.3,3.2,39.4,0.5,1.1,43.5,0.6,0.8,77.1,0.9,2.1,3,0.9,0.6,0.2,0.2,1.7,0,0,3.6,-0.2
Jonas Valanciunas,TOR,24,26,17,9,26.9,4.7,8.7,54.7,0,0,0,2.7,3.5,75,3.2,6,9.3,1,1.6,0.4,1.3,2.4,8,0,12.1,5.5
Jonathon Simmons,SAS,26,30,27,3,13.4,2.2,4.1,53.7,0.4,0.9,46.2,1.3,1.7,76.5,0.2,1.4,1.6,1.2,1,0.4,0.1,1.9,0,0,6.1,4.6
Jordan Adams,MEM,21,2,0,2,7.3,1,3,33.3,0,0.5,0,1.5,2.5,60,0,1,1,1.5,1,1.5,0,1,0,0,3.5,2
Jordan Clarkson,LAL,24,44,9,35,32,5.9,13.5,43.9,1,3,32.6,2.2,2.8,78.4,1.1,2.7,3.8,2.4,1.8,1.2,0.2,2.1,1,0,15.1,-7.9
Jordan Hill,IND,28,40,22,18,21.7,4,7.9,50.5,0,0,0,1.5,2.2,68.6,2.6,4.6,7.1,1.2,1.3,0.6,0.4,2.4,8,0,9.4,2.8
Jordan Mickey,BOS,21,3,3,0,2.1,0.7,1,66.7,0,0,0,1,1,100,0.7,0.3,1,0.3,0,0,0.3,0.3,0,0,2.3,0
Jose Calderon,NYK,34,46,22,24,27.9,2.9,6.1,47.3,1.2,2.8,41.1,0.6,0.7,87.5,0.4,2.7,3.1,4,1.1,1,0.1,1.7,0,0,7.5,-1.2
Jose Juan Barea,DAL,32,39,21,18,21.6,3.6,8.6,41.8,1.2,3.4,35.6,1.1,1.4,77.4,0.3,1.6,2,4,1.7,0.4,0.1,1.5,1,0,9.4,-0.7
Josh McRoberts,MIA,29,20,12,8,15.5,1.2,3,40,0.2,1.1,13.6,0.8,1.1,68.2,0.8,2.2,3,1.8,0.9,0.5,0.2,1.7,0,0,3.3,0.8
Josh Richardson,MIA,22,21,9,12,12.4,0.7,2.5,26.4,0.2,1.1,20.8,0.5,0.8,68.8,0.2,1,1.2,0.9,0.6,0.4,0.2,1.6,0,0,2.1,-4.6
Josh Smith,HOU,30,33,20,13,14.6,2.1,5.8,36.8,0.5,1.9,29,0.8,1.3,56.8,1.1,2.8,3.9,1.5,1.3,0.6,1.1,2,0,0,5.5,-3.2
Jrue Holiday,NOP,26,37,16,21,25,5,11.4,43.9,1.2,3.1,37.9,2.3,2.9,78.5,0.3,2.4,2.6,5.1,2.1,1.1,0.4,2.3,2,0,13.5,0.6
Julius Randle,LAL,21,45,9,36,26.6,4.1,10.2,40.3,0.1,0.4,27.8,2.2,3.2,67.6,2.3,7.3,9.6,1.6,1.7,0.7,0.4,3,15,0,10.5,-6.9
Justin Anderson,DAL,22,23,12,11,7.6,0.9,2.3,37,0.3,1.2,21.4,0.3,0.5,58.3,0,1.1,1.2,0.3,0.4,0.3,0.2,0.7,0,0,2.3,-0.1
Justin Holiday,CHI,27,25,14,11,10.4,0.9,2.8,32.4,0.4,1.8,22.7,0.2,0.4,50,0.1,0.9,1,0.4,0.5,0.5,0.2,0.8,0,0,2.4,-1.7
Justise Winslow,MIA,20,41,22,19,27,2,5.3,38.7,0.5,2,26.3,0.8,1.2,66,0.8,3.8,4.6,1.3,1.4,0.7,0.4,2.2,0,0,5.4,0.5
Jusuf Nurkic,DEN,21,7,3,4,13.1,2.6,7.3,35.3,0,0,0,2.1,3.7,57.7,2,3.3,5.3,0.4,0.7,0.1,1.3,2.9,1,0,7.3,1.3
KJ McDaniels,HOU,23,15,5,10,3.9,0.5,1.7,32,0.1,0.5,28.6,0.2,0.3,60,0.3,0.6,0.9,0.1,0.3,0.2,0.3,0.8,0,0,1.4,2
Karl-Anthony Towns,MIN,20,45,14,31,29.3,6.6,12.5,52.8,0.3,0.8,38.9,2.4,2.8,85.6,2.6,7.1,9.7,1.3,2.1,0.7,1.8,3.1,21,0,15.8,-2
Kawhi Leonard,SAS,25,42,36,6,32.8,7.3,14.5,50.2,1.8,3.8,47.8,3.7,4.2,88,1.3,5.6,6.9,2.6,1.3,1.9,0.9,1.8,7,0,20,10.3
Keith Appling,ORL,24,2,0,2,7.5,1,3,33.3,0,0.5,0,1,1,100,0,0.5,0.5,0,1,0.5,0,1.5,0,0,3,4.5
Kelly Olynyk,BOS,25,43,22,21,20.9,3.9,8.4,46.3,1.4,3.1,43.7,1,1.5,66.7,1.2,3.3,4.5,1.6,1.2,0.9,0.7,2.5,0,0,10.1,2.7
Kelly Oubre,WAS,20,34,16,18,13.8,1.6,4,40.1,0.6,1.6,37.5,0.7,1,69.7,0.5,2.1,2.6,0.3,0.6,0.4,0.1,1.8,0,0,4.5,-1.3
Kemba Walker,CHA,26,44,21,23,35.9,7.1,16.5,43.3,1.8,4.9,37.3,4.4,5.1,86.2,0.8,3.4,4.2,5,2.2,1.7,0.6,1.4,0,0,20.5,0.1
Kendall Marshall,PHI,24,11,2,9,15,1.5,4.5,34,0.5,1.8,30,0.4,0.5,66.7,0.1,1,1.1,3.4,2.3,0.3,0,0.6,0,0,4,-5
Kendrick Perkins,NOP,31,9,3,6,9.2,1.4,1.8,81.3,0,0,0,0.1,0.4,25,0.7,1.4,2.1,0.6,0.7,0,0.2,1,0,0,3,-6.4
Kenneth Faried,DEN,26,37,14,23,26.5,5.2,9.7,53.6,0,0,0,2.1,3.7,56.6,3.7,5.3,8.9,1.1,1.4,0.5,1.1,2.6,9,0,12.5,-3.6
Kent Bazemore,ATL,26,40,24,16,28.2,4.7,10,46.9,1.7,4.1,42.3,1.9,2.2,84.1,0.3,4.2,4.4,2.4,1.7,1.3,0.5,2.3,0,0,13,0.1
Kentavious Caldwell-Pope,DET,23,44,23,21,37.4,5.4,12.8,42.1,1.6,5.1,31.9,2.4,2.9,81.3,0.8,2.9,3.6,1.9,1.4,1.6,0.3,2.4,1,0,14.8,2.8
Kevin Durant,OKC,27,38,30,8,35.5,9.1,18,50.7,2.3,5.9,39,5.9,6.7,88.9,0.4,7.2,7.7,4.5,2.9,1,1.2,1.6,13,1,26.5,10.5
Kevin Garnett,MIN,40,38,14,24,14.6,1.4,3,47,0,0,0,0.4,0.6,66.7,0.4,3.6,3.9,1.6,0.4,0.7,0.3,1.8,0,0,3.2,1.5
Kevin Love,CLE,27,42,30,12,32.4,5.3,12.7,41.5,2,5.5,36.4,3.1,4,78.9,2.4,8.5,10.9,2.3,2,0.9,0.5,2,20,0,15.6,5.8
Kevin Martin,SAS,33,35,12,23,22.6,3.5,9.2,37.5,1,2.8,36.4,3.3,3.8,88.6,0.3,1.8,2,1.3,1,0.5,0,1.7,0,0,11.3,-2.2
Kevin Seraphin,NYK,26,28,11,17,10.5,1.6,4.3,38.7,0,0,0,0.4,0.5,73.3,0.8,1.5,2.4,1.1,1,0.2,0.8,1.3,0,0,3.7,-2
Khris Middleton,MIL,24,46,19,27,36,6.2,14,44.4,2,4.8,42.3,3.3,3.7,87.8,0.4,3.2,3.5,4,1.9,1.1,0.2,2.7,0,0,17.7,-1.1
Kirk Hinrich,ATL,35,28,17,11,15.7,1.4,3.3,43,0.7,1.6,42.2,0.5,0.6,93.8,0.1,1.3,1.5,1.6,0.8,0.4,0,1.8,0,0,4.1,1.1
Meyers Leonard,POR,24,39,18,21,23.3,3.4,7.8,44.2,1.4,4,34,0.6,0.8,75.8,0.9,4.1,5,1.5,1.2,0.1,0.3,3,2,0,8.9,0.3
Michael Carter-Williams,MIL,24,41,16,25,30.8,4.8,10.6,45.2,0.3,0.9,34.3,2,3,65.9,0.9,4.1,5,5.6,2.9,1.6,0.7,2.8,5,0,11.9,-2.2
Mike Conley,MEM,28,39,21,18,31.5,5.1,12.6,40.6,1.4,4,35.9,3.3,3.9,85,0.5,2.4,2.9,5.8,1.5,1.3,0.3,1.8,3,0,15,-1
Mike Miller,DEN,36,32,14,18,8.7,0.5,1.3,37.2,0.4,1.2,35.9,0,0,0,0.2,1.1,1.3,1,0.4,0.3,0.1,1.1,0,0,1.4,-1.4
Mike Muscala,ATL,24,31,18,13,11.2,1.4,3,46.7,0.3,0.9,31,0.5,0.6,83.3,0.5,1.6,2.2,0.5,0.6,0.3,0.5,1.3,0,0,3.5,-1.2
Mike Scott,ATL,27,39,24,15,14.3,2.6,5.1,51.5,0.9,2.1,42,0.7,0.9,80,0.5,1.7,2.2,1,0.6,0.3,0.3,1.3,0,0,6.9,2.9
Miles Plumlee,MIL,27,26,10,16,7.7,1,1.7,58.1,0,0,0,0.4,0.5,78.6,0.7,1.2,1.9,0.2,0.4,0.2,0.5,0.8,0,0,2.3,-3.2
Mirza Teletovic,PHX,30,44,14,30,18,3.4,7.8,43,2.1,5,42.5,0.9,1.2,73.6,0.6,2.6,3.2,1,0.9,0.3,0.3,1.4,0,0,9.7,-1
Mitch McGary,OKC,24,13,11,2,4.2,0.5,1.1,42.9,0,0.2,0,0.3,0.6,50,0.3,0.7,1,0.2,0.5,0,0.2,0.6,0,0,1.2,-3.5
Mo Williams,CLE,33,27,17,10,22.9,4.1,9,45.3,1,3,33.8,1.3,1.5,90,0.1,2.2,2.3,3.3,1.9,0.4,0.2,1.8,0,0,10.5,-1.3
Monta Ellis,IND,30,44,23,21,33.3,5.6,12.7,43.9,0.9,3.1,28.1,1.8,2.5,74.3,0.4,2.3,2.8,5,2.7,1.7,0.5,2.1,1,0,13.9,2
Montrezl Harrell,HOU,22,25,11,14,10.3,1.4,2.1,65.4,0,0,0,0.8,1.4,54.3,0.6,1.1,1.7,0.4,0.4,0.2,0.2,1.5,0,0,3.5,-0.7
Myles Turner,IND,20,22,10,12,16.8,3.5,6.2,56.2,0,0.1,0,1.6,2.3,68.6,0.9,3,4,0.3,0.6,0.3,1.3,2,0,0,8.6,-2.2
Nate Robinson,NOP,32,2,0,2,11.6,0,0.5,0,0,0.5,0,0,0,0,0,0,0,2,0,0.5,0,2.5,0,0,0,-10
Nemanja Bjelica,MIN,28,39,11,28,18.8,1.6,3.8,41.6,0.8,2.4,35.9,0.5,0.8,60.6,0.7,2.7,3.5,1.4,0.7,0.4,0.4,2.7,1,0,4.5,-1.5
Nene,WAS,33,20,10,10,17.6,3.5,6.2,56.5,0,0.1,0,1.4,2.5,55.1,0.8,3.7,4.5,1.7,1.4,1.1,0.4,3.1,1,0,8.4,1.9
Nerlens Noel,PHI,22,38,6,32,29.3,4.3,8.4,50.9,0,0,0,1.8,3.2,56.1,2.2,6.1,8.3,1.3,2.4,1.6,1.6,2.4,10,0,10.4,-8.1
Nick Collison,OKC,35,38,27,11,12.4,0.8,1.9,41.9,0,0.1,0,0.5,0.7,72,1.2,1.8,3,0.8,0.7,0.3,0.2,1.9,0,0,2.1,0.2
Nick Young,LAL,31,36,8,28,18.7,2.6,7.2,36.4,1.6,4.4,35,0.7,0.9,78.8,0.2,1.3,1.5,0.5,0.6,0.5,0.1,0.8,0,0,7.5,-4.1
Nicolas Batum,CHA,27,37,18,19,34.8,5.2,12.4,41.5,2,5.8,35,2.8,3.3,84.4,0.9,5.3,6.3,5.4,3.1,0.9,0.5,1.8,7,1,15.1,1.4
Nik Stauskas,PHI,22,38,4,34,23.6,2.5,7.1,35.6,1.4,4.5,32.2,0.7,1,64.1,0.3,2.1,2.4,1.8,1.2,0.6,0.4,1.4,0,0,7.2,-6.8
Nikola Jokic,DEN,21,42,15,27,19,3.4,6.3,54.8,0.2,0.6,37,1.8,2.2,80.6,2,3.3,5.3,1.7,1.2,0.9,0.5,2.2,3,0,8.9,1.7
Nikola Mirotic,CHI,25,43,25,18,24.1,3.3,8.8,38.1,1.7,4.8,35.3,2.1,2.7,78.3,0.9,4.9,5.8,1.4,1.5,0.9,0.7,2.1,4,0,10.5,1.7
Nikola Pekovic,MIN,30,8,2,6,14.4,2.1,4.6,45.9,0,0,0,1.9,2.3,83.3,0.6,1.1,1.8,0.9,0.9,0,0,2.3,0,0,6.1,-4.9
Nikola Vucevic,ORL,25,39,18,21,31.1,7.8,15.3,51,0,0.2,16.7,1.2,1.6,73.8,2.9,5.7,8.6,2.7,1.7,0.8,1.1,2.5,18,0,16.8,-0.7
Noah Vonleh,POR,20,46,20,26,15.8,1.4,3.4,42,0.1,0.5,17.4,0.6,0.7,81.3,1.3,2.7,4,0.5,0.6,0.5,0.2,2,0,0,3.5,-1.1
Norman Powell,TOR,23,17,10,7,4.7,0.6,1.9,30.3,0.1,0.4,14.3,0,0.1,0,0.4,0.6,1,0.2,0.2,0.4,0,0.5,0,0,1.2,-0.4
Norris Cole,NOP,27,26,12,14,24.3,3.6,9.4,38.1,0.6,2.3,24.6,0.8,1.1,75,0.2,3,3.3,2.4,1.4,0.8,0.2,2.2,1,0,8.5,-2.3
O.J. Mayo,MIL,28,29,11,18,27.1,3.4,9.1,37.4,1.2,4.1,29.4,1,1.3,78.9,0.3,2.3,2.6,3.1,1.6,1.2,0.1,2.8,0,0,9.1,-1.9
